Product Name,Product Description,Category,Energy,Saturates,Carbohydrate,Sugars,Salt
Sainsbury's Wholewheat Biscuits Cereal x48 860g,48 Wholegrain wheat cereal biscuits fortified with vitamins and iron,cereal,358,0.6,68,4.4,0.28
Sainsbury's Cornflakes Cereal 500g,Cornflakes fortified with vitamins and iron,cereal,384,0.5,85.1,4.9,0.94
"Sainsbury's Wholewheat Biscuits, Cereal x24 430g",24 Wholegrain wheat cereal biscuits fortified with vitamins and iron,cereal,358,0.6,68,4.4,0.28
Kellogg's Bran Flakes Breakfast Cereal 750g,Bran Enriched Wheat Flakes.,cereal,359,0.4,65,14,0.68
Weetabix Cereal x12,Whole Wheat Cereal with Added Vitamins & Iron. 12 Biscuits,cereal,362,0.6,69,4.4,0.28
Kellogg's All-Bran Breakfast Cereal 750g,High-Fibre Wheat Bran Cereal.,cereal,334,0.7,48,18,0.95
Kellogg's Corn Flakes Breakfast Cereal 1kg,Toasted Flakes of Golden Corn.,cereal,378,0.2,84,8,1.13
Jordans Country Crisp With Strawberries Cereal 500g,Crisp cereal clusters with freeze dried strawberries.,cereal,433,1.8,66.8,20.7,0.03
Jordans Country Crisp With Chunky Nuts Cereal 500g,"Crisp cereal clusters with chopped & whole roasted hazelnuts, sliced & whole almonds, chopped brazil nuts and chopped pecan nuts",cereal,469,2.6,58.3,17.5,0.03
Sainsbury's Maple & Pecan Crisp Cereal 500g,"Clusters of oats, wheat and crisped rice with pecan nut pieces and maple syrup",cereal,451,4.4,65.2,18,0.03
Dorset Cereals Simply Fruity Muesli 630g,"A blend of rolled and toasted flakes with sweetened dried papaya and pineapple, sultanas and raisins.",cereal,349,0.6,68.4,20.1,0.05
Dorset Cereals Simply Nutty Muesli 560g,"A blend of rolled and toasted flakes with dates, hazelnuts, almonds, brazil nuts and sunflower seeds.",cereal,376,1.1,64.4,14.2,0.03
Kellogg's Corn Flakes Breakfast Cereal 250g,Toasted Flakes of Golden Corn.,cereal,378,0.2,84,8,1.13
Weetabix Chocolate Cereal x24 540g,Wholegrain Wheat Cereal with Chocolate Chips Fortified with Vitamins & Iron.,cereal,366,1.6,68,17,0.18
Sainsbury's Raspberry & Yogurt Crisp Cereal 500g,"Clusters of oats, wheat and crisped rice with yogurt flavoured chunks and freeze-dried raspberries",cereal,438,5,67.1,18.5,0.03
Dorset Cereals Simply Delicious Muesli 650g,"A blend of flakes with dried fruit, sunflower seeds and nuts.",cereal,368,1.1,61.5,14.7,0.03
Kellogg's Bran Flakes Cereal 500g,Bran Enriched Wheat Flakes Fortified with Vitamins and Minerals.,cereal,358,0.4,65,14,0.66
Kellogg's Coco Pops Breakfast Cereal Bars 6x20g,Chocolate Flavour Toasted Rice Cereal and Milk Bar.,cereal,420,9.5,69,27,0.38
Weetabix Crunchy Bran Cereal 375g,"High fibre cereal with wheat bran, wholegrain wheat & oat bran, fortified with vitamins, iron & calcium.",cereal,351,0.8,54,14,0.58
Weetabix Protein Cereal x24,Whole Wheat Cereal with Crispy Pieces and Added Vitamins and Iron. 24 Biscuits.,cereal,365,0.4,62,4.7,0.23
Kellogg's Just Right Cereal 500g,"A harmony of wholewheat, corn, and rice flakes with sultanas and slices almonds.",cereal,371,0.3,79,23,0.98
Dorset Cereals Gloriously Nutty Muesli 500g,"A blend of rolled and toasted flakes with whole almonds, cashew nuts, roasted hazelnuts and chopped brazil nuts with dried fruit and seeds.",cereal,415,2,54.4,8.4,0.03
Dorset Cereals Simply Oat Granola 550g,Gently baked oats with golden syrup and sunflower seeds.,cereal,466,2,58.7,16,0.2
Kellogg's Crunchy Nut Honey & Nut Clusters Cereal 450g,"Crunchy Multi-Grain Cereal, Peanut & Honey Clusters.",cereal,447,3,68,26,0.95
Dorset Cereals Honey Granola 500g,"Gently baked oats, nuts and seeds with honey.",cereal,524,3.3,43.2,13.5,0.05
Kellogg's All-Bran Golden Crunch Cereal 390g,Crunchy Wheat Bran and Mixed Cereals Pieces with a Caramel Flavour,cereal,407,1.2,63,21,0.83
Quaker Oat Crisp Original Cereal 375g,Light Crispy Pillows of Oat Cereal,cereal,375,1,58,11,0.84
Dorset Cereals Nutty Granola 500g,"Deliciously baked oats and golden syrup with almonds, hazelnuts and cashews.",cereal,496,3.8,49.3,12.1,0.11
Toblerone Milk Chocolate Bar 200g,Swiss milk chocolate with honey and almond nougat (10%).,chocolate,529,17,61,60,0.12
Cadbury Milk Tray Chocolate Box 530g,An assortment of chocolates.,chocolate,525,16,61,56,0.36
Sainsbury's Filled Chocolate Batons 130g,"White, dark and milk chocolate and white chocolate with caramelised sugar with hazelnut praline, caramel and vanilla flavoured centres.",chocolate,520,19.4,49.1,34.8,0.19
KitKat 2 Finger Milk Chocolate Biscuit Bar Multipack 9x20.7g,Nine bars of two crispy wafer fingers covered with milk chocolate (66%).,chocolate,502,13.4,62.3,49.4,0.22
KitKat Chunky Milk Chocolate Bar Multipack 4x40g,Four bars of crispy wafer fingers covered with thick milk chocolate (68%).,chocolate,506,13.8,61.7,50.1,0.22
Kit Kat 2 Finger Milk Chocolate Biscuit Bar Multipack 14x20.7g,Fourteen bars of two crispy wafer fingers covered with milk chocolate (66%).,chocolate,502,13.4,62.3,49.4,0.22
Cadbury Dairy Milk Freddo Chocolate Bar Multipack 6pk 108g,Milk chocolate.,chocolate,530,18.5,56.5,56,0.23
Kit Kat 2 Finger Dark Chocolate Biscuit Bar 9x20.7g,Nine bars of two crispy wafer fingers covered in dark chocolate (66%).,chocolate,500,13.9,58.7,44.8,0.04
Cadbury Dairy Milk Chocolate Bar 110g,Milk chocolate.,chocolate,534,18,57,56,0.24
Mars Chocolate Bars Multipack 4x39.4g,Milk chocolate with soft nougat (32%) and caramel centre (27%).,chocolate,448,8.1,69,60,0.4
Cadbury Dairy Milk Chocolate Bar Multipack x10 272g,Milk chocolate.,chocolate,534,18,57,56,0.24
Cadbury Twirl Chocolate Bar Multipack x4 136g,2 Milk chocolate fingers,chocolate,528,17,59,58,0.26
Aero Peppermint Mint Chocolate Bar Multipack x4 27g,Smooth milk chocolate filled with peppermint flavoured bubbles.,chocolate,531,17.1,61.6,60.8,0.25
Cadbury Wispa Chocolate Bar Multipack x4 111.6g,Textured milk chocolate bar.,chocolate,544,19,56,55,0.24
Cadbury Dairy Milk Little Chocolate Bars Multipacks x6 108g,Milk Chocolate.,chocolate,534,18,57,56,0.24
Snickers Chocolate Bars Multipack 4x41.7g,Milk chocolate (35%) with soft nougat (14%) and caramel centre (27%) with fresh roasted peanuts (24%).,chocolate,510,9.6,54,45,0.45
Lovett's Dark Chocolate 100g,Dark Chocolate,chocolate,526,17.6,56.5,50.3,0.01
Toffee Crisp Milk Chocolate Bar Multipack 4x38g,Toffee (18%) and Crisped Cereal (11%) Filled Milk Chocolate.,chocolate,521,17.7,63,50.3,0.18
Fry's Turkish Delight Chocolate Bar Multipack x3 153g,Turkish delight (76 %) covered with milk chocolate.,chocolate,363,3.8,74,64,0.36
Lindt Excellence Dark 70% Cocoa Chocolate Bar 100g,Extra fine dark chocolate,chocolate,2350,24,34,30,0
Cadbury Twirl Chocolate Bar Multipack x11 236.5g,Milk chocolate finger,chocolate,535,18,57,56,0.22
Cadbury Fudge Chocolate Bar Multipack 6pk 132g,Fudge covered with milk chocolate (24 %),chocolate,447,8,75,65,0.32
Cadbury Dairy Milk Chocolate Bar 360g,Milk chocolate.,chocolate,534,18,57,56,0.24
Cadbury Picnic Chocolate Bar Multipack x4 152g,"Milk chocolate with caramel (30 %), peanut (13 %), crispy cereal (10 %) & dried grapes (7 %) centre.",chocolate,2014,9.7,60,46,0.51
Cadbury Bournville Dark Chocolate Bar 180g,Chocolate.,chocolate,525,16,60,58,0
Green & Black's Organic 85% Dark Chocolate Bar 90g,Organic chocolate with 85 % cocoa solids.,chocolate,2512,30,24,14,0.13
Cadbury Dairy Milk Caramel Chocolate Bar Multipack x4 148g,Milk chocolate with caramel centre (37 %).,chocolate,486,13,62,48,0.4
Twix Chocolate Biscuit Snack Size Twin Bars Multipack 4 x 40g,Milk chocolate (35%) covered caramel (32%) and biscuit (26%),chocolate,493,13.7,64.9,49.1,0.41
Mars Chocolate Snack Size Bars Multipack 9x33.8g,Milk chocolate with soft nougat (32%) and caramel centre (27%).,chocolate,448,8.1,69,60,0.42
Cadbury Crunchie Chocolate Bar Multipack x4 128g,Milk chocolate with golden honeycombed centre (37 %).,chocolate,466,10,73,65,0.71
Yorkie Original Milk Chocolate Bar Multipack 3x46g,Chunky milk chocolate,chocolate,540,17.3,59.8,58.7,0.2
Lovett's Milk Chocolate 100g,Milk Chocolate,chocolate,524,17.1,60.3,56.8,0.18
Green & Black's Organic 70% Dark Chocolate Bar 90g,Organic chocolate with 70 % cocoa solids.,chocolate,2406,25,36,29,0.01
Sainsbury's Dark Chocolate 200g,Dark chocolate,chocolate,551,21.4,47.8,42.7,0.01
Kit Kat 4 Finger Milk Chocolate Bar Multipack x8 41.5g,Eight bars of four crispy wafer fingers covered with milk chocolate (66%).,chocolate,502,13.5,62.3,49.4,0.22
Galaxy Smooth Milk Chocolate Bars Multipack 4 x 42g,Milk chocolate.,chocolate,545,20,56,55,0.3
Cadbury Curly Wurly Chocolate Bar Multipack 6pk 129g,Milk chocolate with caramel centre (69 %).,chocolate,453,9.3,70,49,0.65
Cadbury Wispa Chocolate Bar Multipack x10 237g,Textured milk chocolate bar.,chocolate,544,19,56,55,0.24
Cadbury Double Decker Chocolate Bar Multipack x4 174.8g,"Milk chocolate with smooth, chewy nougat (41 %) and crisp, crunchy cereal (9 %) filling.",chocolate,456,8.6,72,55,0.2
Kit Kat 2 Finger?Orange Chocolate Biscuit Bar Multipack x14,Fourteen bars of two crispy wafer fingers covered in orange flavoured milk chocolate (66%).,chocolate,501,13.4,62.1,49.2,0.22
Cadbury Flake Chocolate Bar Multipack x4 102g,"The crumbliest, flakiest milk chocolate.",chocolate,521,16,60,59,0.26
Yorkie Raisin & Biscuit Milk Chocolate Bar Multipack x3 46g,Chunky milk chocolate with raisins (13%) and biscuits (4%),chocolate,508,14.3,61.9,58.3,0.23
Maltesers Chocolate Fun Size Bags 195g,Milk chocolate (73%) with a honeycombed centre (23%).,chocolate,503,15.1,61.6,51.7,0.45
Cadbury Dairy Milk Chocolate Bar Multipack x4 134g,Milk chocolate.,chocolate,534,18,57,56,0.24
Cadbury Dairy Milk Fruit & Nut Chocolate Bar 110g,Milk chocolate with dried grapes (18 %) and almonds (7 %).,chocolate,495,14.5,55.5,54.5,0.2
Cadbury Crunchie Chocolate Bar Multipack x10 261g,Milk chocolate with golden honeycombed centre (37 %).,chocolate,466,10,73,65,0.71
Snickers Chocolate Snack Size Bars Multipack 9x35.5g,Milk chocolate (35%) with soft nougat (14%) and caramel centre (27%) with fresh roasted peanuts (24%).,chocolate,510,9.6,54,45,0.45
Sainsbury's Chewy Caramel Chocolate Bars 5x36g,Soft nougat and caramel milk chocolate bar,chocolate,476,11.7,69.2,56.1,0.53
Kinder Chocolate Snack Bars Multipack 16x12.5g,Fine milk chocolate with a milky filling,chocolate,2360,22.6,53.5,53.3,0.313
Galaxy Ripple Chocolate Bars Multipack 4x33g,Milk chocolate with a rippled centre.,chocolate,528,17,59,58,0.32
Cadbury Dairy Milk Whole Nut Chocolate Bar 120g,Milk chocolate with hazelnuts (16 %).,chocolate,550,16.5,49,48,0.2
Lindt Excellence Dark Sea Salt Chocolate Bar 100g,Extra fine dark chocolate with sea salt.,chocolate,2205,20,50,48,0.31
Lindt Excellence Dark 90% Cocoa Chocolate Bar 100g,Extra fine dark chocolate,chocolate,2483,30,14,7,0
Galaxy Smooth Milk Chocolate Bar 110g,Milk chocolate.,chocolate,545,20,56,55,0.3
Twix Top Chocolate Biscuit Bars Multipack 10x21g,Biscuit topped with caramel (12%) and milk chocolate (26%).,chocolate,506,14,63,38,0.78
Kit Kat Chunky Milk Chocolate Bar Multipack x9 32g,Nine bars of crispy wafer fingers covered with thick milk chocolate (68%).,chocolate,506,14,62.6,52.7,0.23
Kellogg's Rice Krispies Squares Marshmallow Snack Bars 4x28g,Crispy grains of toasted rice cereal covered in chewy melted marshmallow.,chocolate,424,7,76,32,0.75
Kellogg's Rice Krispies Limited Edition Squares Chocolatey Orange Flavour Bars 4x36g,"Orange flavour, rice cereal bar with milk chocolate chunks and a chocolate flavour coating.",chocolate,454,8.6,74,37,0.56
Kellogg's Rice Krispies Squares Delightfully Chocolatey Snack Bars 4x36g,Crispy grains of toasted rice cereal and milk chocolate chunks with a chocolate flavour coating.,chocolate,432,10,74,35,0.63
Treat Kitchen Jelly Beans Bottle 450g,Fruit Flavoured Jelly Beans,chocolate,373,0.2,91.8,54.7,0.05
Lindt Excellence Dark Mint Chocolate Bar 100g,Fine dark chocolate with natural peppermint oil,chocolate,2239,19,52,47,0.1
Lindt Excellence Dark Orange Chocolate Bar 100g,Fine dark chocolate with orange juice and almond slivers,chocolate,2189,17,51,48,0.09
Kit Kat Chunky Milk Chocolate Bar Multipack x9 32g,Nine bars of crispy wafer fingers covered with thick milk chocolate (68%).,chocolate,506,14,62.6,52.7,0.23
Cadbury Wispa Gold Chocolate Bar Multipack 4pk 153.2g,Textured milk chocolate bar with soft caramel centre (32 %).,chocolate,502,15,60,51,0.33
Lindt Excellence Dark Caramel and Sea Salt Chocolate Bar 100g,Fine dark chocolate with crispy caramel pieces and a touch of sea salt,chocolate,2177,17,56,52,0.4
Bounty Coconut Milk Chocolate Duo Bars Multipack 4x57g,Moist tender coconut covered in thick milk chocolate,chocolate,488,21.4,58.5,47.9,0.26
Fry's Chocolate Cream Multipack x3 147g,Chocolate with a fondant centre (52 %).,chocolate,1759,7.5,73,65,0.01
Sainsbury's No Added Sugar Dark Chocolate 100g,No Added Sugar Dark Chocolate with Sweeteners,chocolate,529,26.6,36.8,0.8,0.01
